,CNT,Y_star,P_star,RR_star
1982-01-01,0.004204776951416633,-0.0653205090001569,0.04611585795113575,0.07474897901345928
1982-04-01,-0.00730542959124314,-0.0685903246180819,0.03218672297421284,0.07751431254582489
1982-07-01,-0.014443255693668888,-0.08019502329827041,0.018880894561171008,0.05958628786128697
1982-10-01,-0.024024109583555386,-0.08757267381509024,0.011402247606254082,0.028598973018746806
1983-01-01,-0.025072689558033545,-0.08234823792905495,0.01340025696698657,0.011686956959623518
1983-04-01,-0.02723873028062407,-0.06866186288861839,0.0020102008218033157,0.01563140584891891
1983-07-01,-0.02888936322269764,-0.05707215211613329,-0.01198100934635057,0.02377748592101314
1983-10-01,-0.033483065904277964,-0.045262607233006645,-0.012781994226608024,0.024123890576411882
1984-01-01,-0.02478031641132361,-0.03409673857821597,-0.023834223821287526,0.03134916440212213
1984-04-01,-0.028738877344732572,-0.02591445020497998,-0.028519107070748232,0.041500594359458035
1984-07-01,-0.028040472603205302,-0.024527837408010685,-0.02584435752778291,0.04963457560972956
1984-10-01,-0.021090803559211224,-0.02418507092116631,-0.02995841216862217,0.028914265090717622
1985-01-01,-0.017173371694681805,-0.02239761057789195,-0.025710786431046854,0.026390613271453544
1985-04-01,-0.017698579120807523,-0.020984818957871194,-0.015212905767095084,0.034957739191796226
1985-07-01,-0.01041940060141755,-0.014430449500450616,-0.012825896539954671,0.03313683074904109
1985-10-01,-0.007971533787422658,-0.014995084373075082,-0.009263415257041918,0.037196558560493094
1986-01-01,-0.007952799803453203,-0.013553853881717887,-0.0030630827140486145,0.025567535429445648
1986-04-01,0.005399474886601752,-0.016537944534535363,-0.009407907094283135,0.0012199359673224425
1986-07-01,0.011964101054982024,-0.014740644623198686,-0.008221130734227764,-0.008890202933582888
1986-10-01,0.00396117178986799,-0.016705848206586195,-0.009106179182740638,-0.013363128931943191
1987-01-01,0.01121453995792443,-0.01679349151342239,-0.01660240321897453,-0.006444544842815701
1987-04-01,0.01544055831205604,-0.013268561085702601,-0.009405013693402233,0.0007814637067231308
1987-07-01,0.01805480211135624,-0.011944815680087633,-0.00958089846441452,-6.163590947566564e-05
1987-10-01,0.021139604155601788,-0.0029223428430469743,-0.0071427708192337855,0.004397213869379522
1988-01-01,0.019319765793611055,-0.004235166351728492,0.001076366319604347,-0.009421548787409199
1988-04-01,0.029382487302342497,0.00010497983759693895,-0.0010376512453084145,-0.008466769766574308
1988-07-01,0.023992813713515915,-0.0011959293689410991,0.0006688887552172177,0.005841778397988326
1988-10-01,0.03130785871013053,0.004383948221179287,0.00021087827089533428,0.0123876866845608
1989-01-01,0.04199700506980619,0.006385200298262643,-0.006821114846104859,0.014198601402734367
1989-04-01,0.03998721650869719,0.00641434588136145,-0.0030801870075073024,0.0207453102921653
1989-07-01,0.03749927532390096,0.0061222285002103085,0.00029996416874506393,0.00413413006259352
1989-10-01,0.03534421670165777,0.0008645430836952032,0.0018415705662110544,-0.004726082564694053
1990-01-01,0.04343592302911681,0.0038659581304272155,0.012661034863604387,0.002505241317022034
1990-04-01,0.02979943418824149,0.00011435436159501112,0.01533424113663305,0.00744509994540305
1990-07-01,0.019823188798497426,-0.006825526366168578,0.009737577142611904,0.013732983075370565
1990-10-01,0.013316423825298074,-0.022843812598330102,0.01234812792497048,0.021684735808684023
1991-01-01,-0.0020521630670824464,-0.034545459099947266,0.009438429676206296,0.011152065305492275
1991-04-01,-0.005727492985570848,-0.034607626672186476,-9.844186717279572e-05,0.002386690356977338
1991-07-01,-0.012131161058855255,-0.03712541709364329,0.0012072723752429122,-0.00014377765215838696
1991-10-01,-0.013117864778378063,-0.040950189096412404,-0.004096141021616492,-0.006559485923783808
1992-01-01,-0.013948207553207581,-0.03689490106385715,-0.01272690622781948,-0.015668270320327124
1992-04-01,-0.013446200138174547,-0.03407129583046911,-0.01487369608207916,-0.01723846737172471
1992-07-01,-0.01579554450592724,-0.03195122082846551,-0.021667053776405605,-0.01930980901573167
1992-10-01,-0.019783960203735518,-0.028962297151451395,-0.029580072714226236,-0.01750646426078355
1993-01-01,-0.020215110977778394,-0.034222202441404975,-0.0291502078794429,-0.018009700133370773
1993-04-01,-0.02125986647819289,-0.035551215885180294,-0.02568202577593463,-0.016892098254496363
1993-07-01,-0.017578196679176372,-0.03788942150094302,-0.025629725621895368,-0.021451879433205926
1993-10-01,-0.018368547722552364,-0.031815773165465404,-0.02121430302556872,-0.017982430670555275
1994-01-01,-0.00886723553387192,-0.029070964255344955,-0.016540417099590383,-0.018222005282070585
1994-04-01,-0.012268878905102198,-0.02294315657271402,-0.018945789886357232,-0.012202325968656034
1994-07-01,-0.00867798819341381,-0.024044040822062858,-0.012899575351042006,-0.002961892475730025
1994-10-01,-0.011782926687562423,-0.019696142369038477,-0.016012306582677282,0.006759540622136616
1995-01-01,-0.012096062386010686,-0.023144272309612277,-0.016043977056716868,0.009264549825477869
1995-04-01,-0.012221207308714455,-0.027076808331914295,-0.01218217750328432,0.006678236002027872
1995-07-01,-0.01167798304665979,-0.02542658989778452,-0.016177093724097615,0.0036061912429646574
1995-10-01,-0.014137513668758928,-0.0258359177485261,-0.013834632170973431,0.0009573784728421042
1996-01-01,-0.010110148446141665,-0.025304127705366677,-0.01800792846828233,-0.0007669205015820215
1996-04-01,-0.012257883908290523,-0.01635645888827793,-0.01893034300361866,0.0065120825840413715
1996-07-01,-0.01472231647283806,-0.01431418742320384,-0.020270943617449296,0.008735331018679213
1996-10-01,-0.010664442312203093,-0.010781640259034522,-0.022226779338476086,0.011508229838634266
1997-01-01,-0.0028661909899039273,-0.011028100489254103,-0.0259157530074873,0.01627571893446098
1997-04-01,-0.005149994856617823,-0.0014053284002879165,-0.03385457222573393,0.01729856687055215
1997-07-01,-0.0022915944981605207,0.0037102289699505672,-0.03579303466531471,0.01690580732210074
1997-10-01,-0.004376010348451587,0.0052886202923986625,-0.02962330546604103,0.01901767476463059
1998-01-01,-0.002367168512739326,0.007002095793373274,-0.010085348456361306,0.016463242728554362
1998-04-01,-0.0012992749609139764,0.009007649435335573,-0.010249024206253357,0.012752579760179718
1998-07-01,0.001137945095759818,0.01449405065548418,-0.013585948378117923,0.010010697514928687
1998-10-01,0.0018926159750094484,0.023527986020716596,-0.01943876455007428,0.0043912077131075256
1999-01-01,0.0016591016632112598,0.026288435562293502,-0.0449717710595538,-0.0043418776915626215
1999-04-01,0.0007388526017724217,0.028115057749384043,-0.04513898454410161,-0.004237377794490496
1999-07-01,-0.00014512717845427403,0.03478551502328346,-0.04211693094859671,-0.0021877608565768134
