,P,Y_star,P_star,RR_star
1996-01-01,-0.019801785128040775,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779
1996-04-01,-0.019221976559119183,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855
1996-07-01,-0.017684370802583012,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145
1996-10-01,-0.020094056614165808,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227
1997-01-01,-0.026828875938055077,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017
1997-04-01,-0.03553584753713106,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825
1997-07-01,-0.03223495863608044,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973
1997-10-01,-0.02957070050679554,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938
1998-01-01,-0.029825546543554633,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783
1998-04-01,-0.027142759586081415,-0.0010004189130755287,-0.020513060797704742,0.0014581791898382452
1998-07-01,-0.026468589151729473,-6.631432818609633e-05,-0.02185963234225298,-0.0006167900531191199
1998-10-01,-0.030376576986068667,-0.0014730321008537117,-0.023435930774116813,-0.005072086393030825
1999-01-01,-0.025652146844054338,0.0025212643144966154,-0.03860220458282229,-0.013793133343244167
1999-04-01,-0.02083128731631402,0.0013446879256581294,-0.03574879446325691,-0.015681542564835903
1999-07-01,-0.01848820826932045,0.007411833614027415,-0.030849249838597364,-0.018120623659696137
1999-10-01,-0.014356427511345894,0.013558658337146964,-0.027274046106634926,-0.01178997772777476
2000-01-01,-0.011346826874742654,0.019442153531073297,-0.021152303183061223,-0.007392858119100791
2000-04-01,-0.007829591771542709,0.021880368017161988,-0.021425916001953097,-0.006607067123790339
2000-07-01,-0.0024070003252299535,0.02175015750560722,-0.0072484733513955395,0.0025860123758884557
2000-10-01,0.0022373068714587607,0.020893412383021073,-0.006993426623654033,0.009769915251944072
2001-01-01,0.0010678040610512599,0.021492057852294397,-0.004844435812947705,0.0019951163885536197
2001-04-01,0.005447790776877848,0.018847592402019876,0.00256326217000831,0.004292373742611249
2001-07-01,0.0013984093549405732,0.014615746989156296,-0.01364665087925441,-0.00028440771224128226
2001-10-01,-0.006070891864788017,0.011955447441842204,-0.020717184290051358,-0.011495228426821906
2002-01-01,-0.008228202749411506,0.010258213729821166,-0.020356848222792885,-0.014332012842755955
